as_of_date,holding_days,ticker,composite_score,return_value
2025-03-31,90,PFC.NS,5.1687,3.69
2025-03-31,90,RECLTD.NS,4.8284,-6.24
2025-03-31,90,BHARTIHEXA.NS,4.4538,33.4
2025-03-31,90,AADHARHFC.NS,3.8806,7.0
2025-03-31,90,SRM.NS,3.0371,54.32
2025-03-31,90,TCS.NS,2.3314,-3.14
2025-03-31,90,INDUSTOWER.NS,2.3268,25.96
2025-03-31,90,AETHER.NS,1.7618,-8.33
2025-03-31,90,INDGN.NS,1.6554,-0.33
2025-03-31,90,AWFIS.NS,0.9839,-3.01
2025-03-31,90,VISHWARAJ.NS,0.6895,25.63
2025-03-31,90,POLYCAB.NS,0.3637,27.97
2025-03-31,90,GODIGIT.NS,0.2469,24.44
2025-03-31,90,IRFC.NS,-0.0869,13.9
2025-03-31,90,WIPRO.NS,-0.0895,1.42
2025-03-31,90,DRREDDY.NS,-0.2658,12.16
2025-03-31,90,INFY.NS,-0.5464,3.42
2025-03-31,90,GEEKAYWIRE.NS,-1.0925,-5.86
2025-03-31,90,TBOTEK.NS,-1.4725,16.1
2025-03-31,90,JGCHEM.NS,-2.0713,34.91
2025-03-31,90,LTIM.NS,-2.5813,19.45
2025-03-31,90,RKEC.NS,-3.9208,26.76
2025-03-31,90,SALASAR.NS,-5.253,-7.84
2025-03-31,90,AKG.NS,-5.2743,12.76
2025-03-31,90,RSSOFTWARE.NS,-14.8695,14.55
